V_in,R_in,R_sys,freq,C_DC,C_EXT,C_casc,diode,opamp,eff
1 V,1000 Ω,50 kΩ,55 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9577323444881882
1.5 V,100 Ω,5 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9779637505078275
1.5 V,100 Ω,5 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9822446201851829
1.5 V,100 Ω,5 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.981969356449559
1.5 V,100 Ω,5 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.982196165567948
1.5 V,100 Ω,10 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9668919459205705
1.5 V,100 Ω,10 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9692166419450055
1.5 V,100 Ω,10 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9690095631516474
1.5 V,100 Ω,10 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9689011810800896
1.5 V,100 Ω,20 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9448373210561395
1.5 V,100 Ω,20 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9442882271573401
1.5 V,100 Ω,20 kΩ,40 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9439110006208677
1.5 V,100 Ω,20 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9437814446170548
1.5 V,100 Ω,50 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8812094965225453
1.5 V,100 Ω,50 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8770265173288736
1.5 V,100 Ω,50 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8762371424788516
1.5 V,100 Ω,50 kΩ,55 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8753453542261309
1.5 V,200 Ω,5 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9764699702480296
1.5 V,200 Ω,5 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9798507167772778
1.5 V,200 Ω,5 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9796904873071024
1.5 V,200 Ω,5 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9799010009592259
1.5 V,200 Ω,10 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.965099860917819
1.5 V,200 Ω,10 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9663120785654207
